127.0.0.1 - - [23/Apr/2019:09:21:34 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:21:35 +0900] "GET /js/chap3/3-13.html HTTP/1.1" 200 430
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:21:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:21:58 +0900] "GET /js/chap3/3-13.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:22:22 +0900] "GET /js/chap3/3-13.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:24:29 +0900] "GET /js/chap3/3-13.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:24:42 +0900] "GET /js/chap3/3-13.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:40:33 +0900] "GET /js/chap3/3-14.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:42:52 +0900] "GET /js/chap3/3-15.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:43:10 +0900] "GET /js/chap3/3-15.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:44:01 +0900] "GET /js/chap3/3-15.html HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [23/Apr/2019:09:45:13 +0900] "GET /js/chap3/3-15.html HTTP/1.1" 200 541
